MsgID.GLOBAL_POSITION,1524335919.6306620,-122.3957498,37.7932808,0.0820000
MsgID.LOCAL_VELOCITY,1524335919.6306620,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524335919.6311610,-0.0992504,0.1553134,-0.0824687
MsgID.LOCAL_VELOCITY,1524335919.6311610,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1524335919.6321602,-122.3957515,37.7932822,0.0830000
MsgID.LOCAL_VELOCITY,1524335919.6321602,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524335919.6326592,0.0576061,0.0086923,-0.0830432
MsgID.LOCAL_VELOCITY,1524335919.6326592,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1524335919.6336577,-122.3957502,37.7932829,0.0870000
MsgID.LOCAL_VELOCITY,1524335919.6336577,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524335919.6346540,0.1322541,0.1270840,-0.0876298
MsgID.LOCAL_VELOCITY,1524335919.6346540,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1524335919.6356521,False,False
MsgID.GLOBAL_HOME,1524335919.6386473,-122.3957516,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,1524335919.6391480,-122.3957514,37.7932813,0.0980000
MsgID.LOCAL_VELOCITY,1524335919.6391480,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524335919.6396451,-0.0470253,0.0216688,-0.0982812
MsgID.LOCAL_VELOCITY,1524335919.6396451,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1524335919.6401460,-122.3957527,37.7932807,0.1190000
MsgID.LOCAL_VELOCITY,1524335919.6401460,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524335919.6401460,-0.1075159,-0.0963711,-0.1192429
MsgID.LOCAL_VELOCITY,1524335919.6401460,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1524335919.6406431,-122.3957514,37.7932817,0.1430000
MsgID.LOCAL_VELOCITY,1524335919.6406431,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524335919.6411438,-0.0053745,0.0207167,-0.1435483
MsgID.LOCAL_VELOCITY,1524335919.6411438,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1524335919.6421413,-122.3957531,37.7932815,0.1730000
MsgID.LOCAL_VELOCITY,1524335919.6421413,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524335919.6426399,-0.0218925,-0.1353314,-0.1735441
MsgID.LOCAL_VELOCITY,1524335919.6426399,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1524335919.6426399,False,False
MsgID.GLOBAL_HOME,1524335919.6431389,-122.3957516,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,1524335919.6431389,-122.3957525,37.7932811,0.1960000
MsgID.LOCAL_VELOCITY,1524335919.6431389,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524335919.6436377,-0.0622304,-0.0843467,-0.1965177
MsgID.LOCAL_VELOCITY,1524335919.6436377,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1524335919.7918625,-122.3957518,37.7932810,0.2130000
MsgID.LOCAL_VELOCITY,1524335919.7918625,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524335919.7923615,-0.0611572,0.0056129,-0.2131972
MsgID.LOCAL_VELOCITY,1524335919.7923615,0.0000062,-0.0000015,0.0000195
MsgID.GLOBAL_POSITION,1524335920.0428958,-122.3957515,37.7932815,0.2150000
MsgID.LOCAL_VELOCITY,1524335920.0428958,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524335920.0433948,0.0028388,0.0388610,-0.2155674
MsgID.LOCAL_VELOCITY,1524335920.0433948,0.0000041,-0.0000105,-0.0000112
MsgID.GLOBAL_POSITION,1524335920.2924318,-122.3957515,37.7932807,0.2020000
MsgID.LOCAL_VELOCITY,1524335920.2924318,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524335920.2929316,-0.0949693,0.0389128,-0.2020058
MsgID.LOCAL_VELOCITY,1524335920.2929316,0.0000007,-0.0000055,-0.0000011
MsgID.STATE,1524335920.5339835,True,True
MsgID.GLOBAL_HOME,1524335920.5354803,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1524335920.5429661,-122.3957507,37.7932810,0.1770000
MsgID.LOCAL_VELOCITY,1524335920.5429661,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524335920.5439644,-0.0545086,0.1065371,-0.1770096
MsgID.LOCAL_VELOCITY,1524335920.5439644,0.0000245,-0.0005086,0.0051227
MsgID.GLOBAL_POSITION,1524335920.7930028,-122.3957505,37.7932828,0.3840000
MsgID.LOCAL_VELOCITY,1524335920.7930028,0.0000000,0.0000000,-2.0700000
MsgID.LOCAL_POSITION,1524335920.7930028,0.1397043,0.1277402,-0.3840206
MsgID.LOCAL_VELOCITY,1524335920.7930028,-0.0062379,-0.0074068,-2.0789638
MsgID.GLOBAL_POSITION,1524335921.0445342,-122.3957528,37.7932809,1.0590000
MsgID.LOCAL_VELOCITY,1524335921.0445342,-0.0300000,0.0000000,-3.8600000
MsgID.LOCAL_POSITION,1524335921.0450346,-0.0621015,-0.0818486,-1.0591474
MsgID.LOCAL_VELOCITY,1524335921.0450346,-0.0330321,0.0046000,-3.8676338
MsgID.GLOBAL_POSITION,1524335921.2925732,-122.3957532,37.7932811,2.1480000
MsgID.LOCAL_VELOCITY,1524335921.2925732,-0.0100000,0.0200000,-4.5000000
MsgID.LOCAL_POSITION,1524335921.2935729,-0.0456481,-0.1178390,-2.1487803
MsgID.LOCAL_VELOCITY,1524335921.2935729,-0.0170661,0.0253031,-4.5021033
MsgID.STATE,1524335921.5341241,True,True
MsgID.GLOBAL_HOME,1524335921.5346234,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1524335921.5431075,-122.3957525,37.7932814,3.1100000
MsgID.LOCAL_VELOCITY,1524335921.5431075,0.0000000,0.0300000,-3.4400000
MsgID.LOCAL_POSITION,1524335921.5436068,-0.0151150,-0.0520980,-3.1106253
